MainType,ViewType,OfferType,OFFER_NAME,INCENTIVES,VALIDITY,TIME_DURATION,RECURSIVE,PRORATED,DEPOSIT,SUB,UNSUB,INFO,OFFER_CAT,CHARGES,MainHeader
IDD,CallCenter,Add On,IDD Group 1 (5 Destinations),Reduced rates,30 Days,24 Hours,Yes,Yes,24 Hours,"Customer Care Center, Contact Centers and Franchise Centers","Customer Care Center, Contact Centers and Franchise Centers",Dest-100 m-Initial -- PKR 100 m100 -- PKR 100 m400 -- PKR 100 m600 -- PKR 100 m900 -- PKR 100 5-Intl. Dest-50 m300 -- PKR 50 m999 -- PKR 50 m1500 -- PKR 50 mUnlimited (Basic+Premium) -- PKR 50 Business Package -- PKR 50,Postpaid,Dest-100 m-Initial -- PKR 100 m100 -- PKR 100 m400 -- PKR 100 m600 -- PKR 100 m900 -- PKR 100 5-Intl. Dest-50 m300 -- PKR 50 m999 -- PKR 50 m1500 -- PKR 50 mUnlimited (Basic+Premium) -- PKR 50 Business Package -- PKR 50,B2C
Offer,BackEndTeam,Hybrid,Chenab Haftawar Offer (Old Name Chiniot LBC),"4GB, 20 Off-Net, 200 On-Net Min aur 200 SMS",7 days,24 hours,No,No,24 hours,*664#,*664*4#,*664*3#,Prepaid,Rs. 173 (inc tax),B2C
Offer,CallCenter,Hybrid,Chenab Haftawar Offer (Old Name Chiniot LBC),"4GB, 20 Off-Net, 200 On-Net Min aur 200 SMS",7 days,24 hours,No,No,24 hours,*664#,*664*4#,*664*3#,Prepaid,Rs. 173 (inc tax),B2C
Offer,CallCenter,Hybrid,Chenab Haftawar Offer (Old Name Chiniot LBC),"4GB, 20 Off-Net, 200 On-Net Min aur 200 SMS",7 days,24 hours,No,No,24 hours,*664#,*664*4#,*664*3#,Prepaid,Rs. 173 (inc tax),B2C
Offer,Franchise,Hybrid,Chenab Haftawar Offer (Old Name Chiniot LBC),"4GB, 20 Off-Net, 200 On-Net Min aur 200 SMS",7 days,24 hours,No,No,24 hours,*664#,*664*4#,*664*3#,Prepaid,Rs. 173 (inc tax),B2C
Offer,CallCenter,Hybrid,Monthly Super Max/Monthly Max,"On-net Minute 3000, Off-net Minutes 500; SMS 3000 ; 50 GBs Data",X+29 Days,24 hours,No,No,24 hours,*708#,*708*4#,*708*3#,Prepaid,Rs.1739 (Incl Tax),B2C
Offer,ExperienceCenter,Hybrid,Monthly Super Max/Monthly Max,"On-net Minute 3000, Off-net Minutes 500; SMS 3000 ; 50 GBs Data",X+29 Days,24 hours,No,No,24 hours,*708#,*708*4#,*708*3#,Prepaid,Rs.1739 (Incl Tax),B2C
Offer,Franchise,Hybrid,Monthly Super Max/Monthly Max,"On-net Minute 3000, Off-net Minutes 500; SMS 3000 ; 50 GBs Data",X+29 Days,24 hours,No,No,24 hours,*708#,*708*4#,*708*3#,Prepaid,Rs.1739 (Incl Tax),B2C
Offer,Franchise,Hybrid,Monthly Super Max/Monthly Max,"On-net Minute 3000, Off-net Minutes 500; SMS 3000 ; 50 GBs Data",X+29 Days,24 hours,No,No,24 hours,*708#,*708*4#,*708*3#,Prepaid,Rs.1739 (Incl Tax),B2C
Offer,BackEndTeam,Voice,Weekly Gupshup (old name: Weekly Voice Offer),"1000 Jazz Min & SMS, 60 Other Network Min & 100MB",7 days,24 hours,No,No,24 hours,*211#,*211*4#,*211*3#,Prepaid,173 Incl Tax,B2C
Offer,ExperienceCenter,Voice,Weekly Gupshup (old name: Weekly Voice Offer),"1000 Jazz Min & SMS, 60 Other Network Min & 100MB",7 days,24 hours,No,No,24 hours,*211#,*211*4#,*211*3#,Prepaid,173 Incl Tax,B2C
