Id,D_ID,ViewType,Network,Category,DATA_TYPE,Consumable_Data,Charges,Data_Name,Incentive,Validity,Time_Window,Recursive,Prorated,Deposite,Subscription,Unsubscription,Status_String,Offer_Status,Offer_Detail,ISMS_MainCategory_ID,Description,Created_BY,Created_Date,URL,Modify_BY,Modify_Date,USSD_String,Files,oVideos,PackagesIds,CitiesIds,CompalintIds,Status,FAQs,BaseRate,PriorityTable,Workcode,UpdateNotes,MainHeader,NotifyDomain,DOStatus,ExpiredFrom,Emails,SUB_MEDIUM,UNSUB_MEDIUM,data_type_name
6,2,BackEndTeam,Jazz,Postpaid,10,1 GB,Rs.272.88 [Excl Tax],1 GB Add-On,1 GB,30 days,24,No,Advanced and non recursive,-,*446#,-,-,Active,"<p>Customer can avail this bundle from our self-service channels i.e.,WhatsApp 03003008000, *446# Dial Code</p>
",2717,1 GB add on only for 30 days,anum.khan3,2020-01-20 15:18:40.920,~/DataOffer/,muhammad.zaid,2024-12-19 14:04:30.937,*446#,NULL,NULL,0,NULL,NULL,E,NULL,2.39/MB,NULL,"<table cellspacing=""0"" style=""border-collapse:collapse; width:696px"">
	<tbody>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:1px solid black; height:19px; text-align:center; vertical-align:middle; white-space:nowrap; width:695px""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - Wrong/Over Charging</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - General</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Activation</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Information</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - Incentive Issue</span></span></span></td>
		</tr>
	</tbody>
</table>
","<p>Revision in price</p>
",B2C,CC - GSM JAZZ,Active,NULL,NULL,NULL,NULL,4G Data
7,2,BackEndTeam,Warid,Postpaid,10,1 GB,Rs.272.88 [Excl Tax],1 GB Add-On,1 GB,30 days,24,No,Advanced and non recursive,-,*446#,-,-,Active,"<p>Customer can avail this bundle from our self-service channels i.e.,WhatsApp 03003008000, *446# Dial Code</p>
",2717,1 GB add on only for 30 days,anum.khan3,2020-01-20 15:18:40.920,~/DataOffer/,muhammad.zaid,2024-12-19 14:04:30.937,*446#,NULL,NULL,0,NULL,NULL,E,NULL,2.39/MB,NULL,"<table cellspacing=""0"" style=""border-collapse:collapse; width:696px"">
	<tbody>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:1px solid black; height:19px; text-align:center; vertical-align:middle; white-space:nowrap; width:695px""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - Wrong/Over Charging</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - General</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Activation</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Information</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - Incentive Issue</span></span></span></td>
		</tr>
	</tbody>
</table>
","<p>Revision in price</p>
",B2C,CC - GSM JAZZ,Active,NULL,NULL,NULL,NULL,4G Data
8,2,CallCenter,Jazz,Postpaid,10,1 GB,Rs.272.88 [Excl Tax],1 GB Add-On,1 GB,30 days,24,No,Advanced and non recursive,-,*446#,-,-,Active,"<p>Customer can avail this bundle from our self-service channels i.e.,WhatsApp 03003008000, *446# Dial Code</p>
",2717,1 GB add on only for 30 days,anum.khan3,2020-01-20 15:18:40.920,~/DataOffer/,muhammad.zaid,2024-12-19 14:04:30.937,*446#,NULL,NULL,0,NULL,NULL,A,NULL,2.39/MB,NULL,"<table cellspacing=""0"" style=""border-collapse:collapse; width:696px"">
	<tbody>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:1px solid black; height:19px; text-align:center; vertical-align:middle; white-space:nowrap; width:695px""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - Wrong/Over Charging</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - General</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Activation</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Information</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - Incentive Issue</span></span></span></td>
		</tr>
	</tbody>
</table>
","<p>Revision in price</p>
",B2C,CC - GSM JAZZ,Active,NULL,NULL,NULL,NULL,4G Data
9,2,CallCenter,Warid,Postpaid,10,1 GB,Rs.272.88 [Excl Tax],1 GB Add-On,1 GB,30 days,24,No,Advanced and non recursive,-,*446#,-,-,Active,"<p>Customer can avail this bundle from our self-service channels i.e.,WhatsApp 03003008000, *446# Dial Code</p>
",2717,1 GB add on only for 30 days,anum.khan3,2020-01-20 15:18:40.920,~/DataOffer/,muhammad.zaid,2024-12-19 14:04:30.937,*446#,NULL,NULL,0,NULL,NULL,E,NULL,2.39/MB,NULL,"<table cellspacing=""0"" style=""border-collapse:collapse; width:696px"">
	<tbody>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:1px solid black; height:19px; text-align:center; vertical-align:middle; white-space:nowrap; width:695px""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - Wrong/Over Charging</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - General</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Activation</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Information</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - Incentive Issue</span></span></span></td>
		</tr>
	</tbody>
</table>
","<p>Revision in price</p>
",B2C,CC - GSM JAZZ,Active,NULL,NULL,NULL,NULL,4G Data
10,2,ExperienceCenter,Jazz,Postpaid,10,1 GB,Rs.272.88 [Excl Tax],1 GB Add-On,1 GB,30 days,24,No,Advanced and non recursive,-,*446#,-,-,Active,"<p>Customer can avail this bundle from our self-service channels i.e.,WhatsApp 03003008000, *446# Dial Code</p>
",2717,1 GB add on only for 30 days,anum.khan3,2020-01-20 15:18:40.920,~/DataOffer/,muhammad.zaid,2024-12-19 14:04:30.937,*446#,NULL,NULL,0,NULL,NULL,A,NULL,2.39/MB,NULL,"<table cellspacing=""0"" style=""border-collapse:collapse; width:696px"">
	<tbody>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:1px solid black; height:19px; text-align:center; vertical-align:middle; white-space:nowrap; width:695px""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - Wrong/Over Charging</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - General</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Activation</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Information</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - Incentive Issue</span></span></span></td>
		</tr>
	</tbody>
</table>
","<p>Revision in price</p>
",B2C,CC - GSM JAZZ,Active,NULL,NULL,NULL,NULL,4G Data
11,2,ExperienceCenter,Warid,Postpaid,10,1 GB,Rs.272.88 [Excl Tax],1 GB Add-On,1 GB,30 days,24,No,Advanced and non recursive,-,*446#,-,-,Active,"<p>Customer can avail this bundle from our self-service channels i.e.,WhatsApp 03003008000, *446# Dial Code</p>
",2717,1 GB add on only for 30 days,anum.khan3,2020-01-20 15:18:40.920,~/DataOffer/,muhammad.zaid,2024-12-19 14:04:30.937,*446#,NULL,NULL,0,NULL,NULL,E,NULL,2.39/MB,NULL,"<table cellspacing=""0"" style=""border-collapse:collapse; width:696px"">
	<tbody>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:1px solid black; height:19px; text-align:center; vertical-align:middle; white-space:nowrap; width:695px""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - Wrong/Over Charging</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - General</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Activation</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Information</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - Incentive Issue</span></span></span></td>
		</tr>
	</tbody>
</table>
","<p>Revision in price</p>
",B2C,CC - GSM JAZZ,Active,NULL,NULL,NULL,NULL,4G Data
12,2,Franchise,Jazz,Postpaid,10,1 GB,Rs.272.88 [Excl Tax],1 GB Add-On,1 GB,30 days,24,No,Advanced and non recursive,-,*446#,-,-,Active,"<p>Customer can avail this bundle from our self-service channels i.e.,WhatsApp 03003008000, *446# Dial Code</p>
",2717,1 GB add on only for 30 days,anum.khan3,2020-01-20 15:18:40.920,~/DataOffer/,muhammad.zaid,2024-12-19 14:04:30.937,*446#,NULL,NULL,0,NULL,NULL,A,NULL,2.39/MB,NULL,"<table cellspacing=""0"" style=""border-collapse:collapse; width:696px"">
	<tbody>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:1px solid black; height:19px; text-align:center; vertical-align:middle; white-space:nowrap; width:695px""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - Wrong/Over Charging</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - General</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Activation</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Information</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - Incentive Issue</span></span></span></td>
		</tr>
	</tbody>
</table>
","<p>Revision in price</p>
",B2C,CC - GSM JAZZ,Active,NULL,NULL,NULL,NULL,4G Data
13,2,Franchise,Warid,Postpaid,10,1 GB,Rs.272.88 [Excl Tax],1 GB Add-On,1 GB,30 days,24,No,Advanced and non recursive,-,*446#,-,-,Active,"<p>Customer can avail this bundle from our self-service channels i.e.,WhatsApp 03003008000, *446# Dial Code</p>
",2717,1 GB add on only for 30 days,anum.khan3,2020-01-20 15:18:40.920,~/DataOffer/,muhammad.zaid,2024-12-19 14:04:30.937,*446#,NULL,NULL,0,NULL,NULL,E,NULL,2.39/MB,NULL,"<table cellspacing=""0"" style=""border-collapse:collapse; width:696px"">
	<tbody>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:1px solid black; height:19px; text-align:center; vertical-align:middle; white-space:nowrap; width:695px""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - Wrong/Over Charging</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - General</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Activation</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Information</span></span></span></td>
		</tr>
		<tr>
			<td style=""border-bottom:1px solid black; border-left:1px solid black; border-right:1px solid black; border-top:none; height:19px; text-align:center; vertical-align:middle; white-space:nowrap""><span style=""font-size:15px""><span style=""font-family:&quot;Calibri Light&quot;,sans-serif""><span style=""color:black"">1 GB Add On - Data - Monthly - Complaints - Incentive Issue</span></span></span></td>
		</tr>
	</tbody>
</table>
","<p>Revision in price</p>
",B2C,CC - GSM JAZZ,Active,NULL,NULL,NULL,NULL,4G Data
17,3,BackEndTeam,Jazz,Postpaid,10,1 GB,Rs.363.83 [Excl Tax],Data Add-On 1,1 GB,30 DAYS,24,No,Advanced,-,*446#,-,-,-,"<p>Customer can avail this bundle from our self-service channels i.e.,WhatsApp 03003008000, *446# Dial Code</p>
",NULL,1 GB,anum.khan3,2020-01-20 15:29:35.463,~/DataOffer/,muhammad.zaid,2024-12-03 15:17:46.830,*446#,NULL,NULL,0,NULL,NULL,A,NULL,2.39+Tax/MB,NULL,"<table cellspacing=""0"">
	<tbody>
		<tr>
			<td>1 GB Add On - Data - Monthly - Complaints - Wrong/Over Charging</td>
		</tr>
		<tr>
			<td>1 GB Add On - Data - Monthly - Complaints - General</td>
		</tr>
		<tr>
			<td>1 GB Add On - Data - Monthly - Activation</td>
		</tr>
		<tr>
			<td>1 GB Add On - Data - Monthly - Information</td>
		</tr>
		<tr>
			<td>1 GB Add On - Data - Monthly - Complaints - Incentive Issue</td>
		</tr>
	</tbody>
</table>
","<p>WCs are updated</p>
",B2C,CC - RTG,Active,NULL,NULL,NULL,NULL,4G Data
18,3,CallCenter,Jazz,Postpaid,10,1 GB,Rs.363.83 [Excl Tax],Data Add-On 1,1 GB,30 DAYS,24,No,Advanced,-,*446#,-,-,-,"<p>Customer can avail this bundle from our self-service channels i.e.,WhatsApp 03003008000, *446# Dial Code</p>
",NULL,1 GB,anum.khan3,2020-01-20 15:29:35.463,~/DataOffer/,muhammad.zaid,2024-12-03 15:17:46.830,*446#,NULL,NULL,0,NULL,NULL,A,NULL,2.39+Tax/MB,NULL,"<table cellspacing=""0"">
	<tbody>
		<tr>
			<td>1 GB Add On - Data - Monthly - Complaints - Wrong/Over Charging</td>
		</tr>
		<tr>
			<td>1 GB Add On - Data - Monthly - Complaints - General</td>
		</tr>
		<tr>
			<td>1 GB Add On - Data - Monthly - Activation</td>
		</tr>
		<tr>
			<td>1 GB Add On - Data - Monthly - Information</td>
		</tr>
		<tr>
			<td>1 GB Add On - Data - Monthly - Complaints - Incentive Issue</td>
		</tr>
	</tbody>
</table>
","<p>WCs are updated</p>
",B2C,CC - RTG,Active,NULL,NULL,NULL,NULL,4G Data
